LocationName,System,C-Type,E-Type,I-Type,M-Type,P-Type,Q-Type,S-Type
RMB-SURD,Pyro,29%,4%,21%,13%,21%,13%,
RMB-ONER,Pyro,50%,,,50%,,,
RMB-PURI,Pyro,24%,22%,5%,15%,5%,7%,22%
RMB-VOES,Pyro,9%,21%,4%,11%,17%,19%,19%
RMB-DREG,Pyro,14%,9%,2%,7%,22%,29%,17%
RMB-SHEW,Pyro,5%,35%,5%,20%,10%,20%,5%
RMB-NICH,Pyro,6%,17%,6%,33%,6%,28%,6%
RMB-ZARF,Pyro,7%,19%,4%,19%,11%,33%,7%
RMB-GREX,Pyro,12%,24%,4%,24%,16%,12%,8%
RMB-ELMS,Pyro,8%,33%,8%,8%,17%,17%,8%
RMB-EVEN,Pyro,5%,38%,,8%,19%,,30%
RMB-LAZO,Pyro,5%,14%,10%,29%,5%,14%,24%
RMB-NAIN,Pyro,3%,29%,,44%,15%,3%,6%
PYR2 L4 - Checkmate,Pyro,,40%,,20%,,20%,20%
RMB-SIJO,Pyro,36%,,9%,27%,18%,9%,
RAB-ALPHA,Pyro,10%,13%,10%,14%,8%,25%,20%
RAB-BRAVO,Pyro,17%,19%,9%,9%,19%,13%,15%
RAB-CHARLIE,Pyro,7%,7%,7%,13%,,67%,
RAB-COOK,Pyro,3%,13%,23%,29%,19%,3%,10%
RAB-DELTA,Pyro,12%,6%,,6%,18%,35%,24%
RAB-ECHO,Pyro,4%,4%,8%,27%,10%,24%,24%
RAB-FOXTROT,Pyro,7%,11%,15%,13%,9%,26%,20%
RAB-GULF,Pyro,6%,6%,15%,18%,9%,24%,21%
RAB-HELIO,Pyro,43%,14%,14%,14%,14%,,
RAB-IGNITION,Pyro,14%,22%,24%,8%,,12%,22%
RAB-JON,Pyro,5%,35%,5%,10%,30%,10%,5%
RAB-JAK,Pyro,26%,15%,15%,11%,11%,19%,4%
RAB-KILO,Pyro,5%,19%,14%,33%,,19%,10%
RAB-LYNX,Pyro,11%,26%,7%,33%,4%,15%,4%
RAB-MAT,Pyro,14%,10%,14%,10%,10%,38%,5%
RAB-NOVEMBER,Pyro,21%,26%,5%,26%,5%,16%,
RAB-OVER,Pyro,17%,50%,,33%,,,
RAB-POINT,Pyro,8%,31%,15%,,,8%,31%
RAB-QUAGMIRE,Pyro,16%,16%,17%,21%,13%,7%,11%
RAB-ROTH,Pyro,18%,25%,11%,11%,7%,21%,7%
RAB-SIERRA,Pyro,13%,20%,4%,9%,20%,22%,12%
RAB-TUNG,Pyro,20%,25%,4%,16%,8%,15%,11%
RAB-VICTORY,Pyro,11%,17%,10%,13%,19%,30%,
RAB-WHISKEY,Pyro,15%,10%,30%,20%,5%,10%,10%
RAB-XENO,Pyro,13%,18%,6%,13%,21%,15%,13%
RAB-YORK,Pyro,12%,27%,4%,23%,27%,8%,
RAB-ZETA,Pyro,15%,15%,9%,20%,4%,30%,7%
RMB-NENE,Pyro,50%,,,40%,10%,,
RMB-MARA,Pyro,10%,40%,,,20%,20%,10%
RMB-QINS,Pyro,,20%,10%,10%,,20%,40%
RMB-ION,Pyro,8%,15%,26%,13%,5%,13%,21%
RMB-PIZE,Pyro,15%,12%,15%,20%,11%,12%,15%
RMB-LOWN,Pyro,22%,11%,,44%,22%,,
RMB-CRUE,Pyro,9%,19%,16%,26%,14%,7%,9%
RMB-HARK,Pyro,5%,24%,,5%,24%,33%,10%
RMB-SOWL,Pyro,54%,15%,15%,,8%,,8%
RMB-UMUS,Pyro,6%,22%,6%,18%,14%,22%,14%
RMB-MEFF,Pyro,,,,,40%,,60%
Terminus Rings,Pyro,11%,17%,1%,22%,11%,13%,24%
Cluster BGR-560,Pyro,,27%,27%,27%,,9%,9%
RMB-GRAY,Pyro,26%,17%,13%,4%,9%,26%,4%
Cluster CAJ-445,Pyro,,,,,,,
RMB-HORN,Pyro,27%,4%,,15%,35%,15%,4%
RMB-PEKE,Pyro,20%,20%,,,20%,40%,
RMB-MUGG,Pyro,,31%,25%,,19%,13%,13%
RMB-KIFF,Pyro,33%,33%,,,33%,,
RMB-YEAD,Pyro,26%,9%,4%,13%,,26%,22%
Cluster DLO-486,Pyro,6%,33%,22%,,11%,,28%
Cluster GRP-839,Pyro,,,,,,
RMB-LANX,Pyro,17%,8%,17%,17%,25%,,17%
Cluster KKE-717,Pyro,8%,13%,21%,29%,4%,13%,13%
RMB-VERD,Pyro,12%,23%,12%,12%,12%,15%,15%
RMB-FLAG,Pyro,8%,20%,24%,8%,12%,20%,8%
RMB-BORS,Pyro,19%,24%,,,19%,24%,14%
Cluster RSC-340,Pyro,,,,,,
RMB-KYUS,Pyro,,9%,9%,27%,18%,18%,18%
